66,Huntington,Station,Ground Floor,Rack
330,Inwood,Station,Track,Enclosure
308,Island Park,Station,Ground Floor,Enclosure
190,Islip,Station,Ground Floor,Ticket Office
252,Jamaica,Capital Building,3rd Floor,Comm. Room
304,Jamaica,Capital Building,3rd Floor,Copier
343,Jamaica,Capital Building,3rd Floor,PP&C
377,Jamaica,Capital Building,3rd Floor,Server Room
35,Jamaica,Capital Building,4th Floor,Computer Room
31,Jamaica,Capital Building,5th Floor,Computer Room
212,Jamaica,Employment,1st Floor,Rack
257,Jamaica,Employment,2nd Floor,Comm. Room
267,Jamaica,F&A,1st Floor,Comm. Room
269,Jamaica,F&A,1st Floor,Service Planning
277,Jamaica,F&A,1st Floor,Sales
260,Jamaica,F&A,2nd Floor,Rack
261,Jamaica,F&A,2nd Floor,Payroll
262,Jamaica,F&A,2nd Floor,Accts Payable
263,Jamaica,F&A,2nd Floor,Revenue
268,Jamaica,F&A,2nd Floor,Copier
78,Jamaica,F&A,Basement,Rack,
52,Jamaica,Hall Tower,Basement,Rack,Hall Tower
373,Jamaica,Jamaica Central Control,3rd Floor,Office,
362,Jamaica,Jamaica Central Control,7th,Comm. Room,
365,Jamaica,Jamaica Central Control,7th,Server Room,
366,Jamaica,Jamaica Central Control,7th,East,
53,Jamaica,Jay Tower,2nd Floor,Rack,Jay Tower
363,Jamaica,Print Shop,1st Floor,Office,
55,Jamaica,Print Shop,Ground Floor,Rack,
247,Jamaica,Station,1st Floor,Rack,
248,Jamaica,Station,1st Floor,Office,
19,Jamaica,Station,2nd Floor,Comm. Room,
249,Jamaica,Station,2nd Floor,Labor Relations,
251,Jamaica,Station,2nd Floor,204,
346,Jamaica,Station,2nd Floor,President's Office,
375,Jamaica,Station,2nd Floor,205,
245,Jamaica,Station,3rd Floor,Comm. Room
246,Jamaica,Station,3rd Floor,Office
244,Jamaica,Station,4th Floor,Law/Claims
23,Jamaica,Station,5th Floor,Computer Room
242,Jamaica,Station,5th Floor,Tech Support
243,Jamaica,Station,5th Floor,Human Resources
317,Jamaica,Station,Ground Floor,Office
289,Jamaica,Station,Platform B,West Bound Wheelhouse
318,Jamaica,Station,Platform B,WestBound Information
321,Jamaica,Station,Platform C,Station Master
374,Jamaica,Station,Platform D,East Bound Wheelhouse
319,Jamaica,Station,Platform D,East Bound Information
350,Jamaica,Station,Platform E,Eastbound Usher Booth
314,Jamaica,Yard,Ground Floor,Trailer
340,Kearny,Facility,1st Floor,Comm. Room
106,Kew Gardens,Station,Ground Floor,Ticket Office
109,Kings Park,Station,Ground Floor,Ticket Office
301,Long Island City,Capital Building,2nd Floor,Comm. Room
85,Long Island City,MofE Structure,Ground Floor,Rack
228,Long Island City,MofE Structure,Ground Floor,Office
315,Long Island City,Station,Ground Floor,Enclosure
204,Long Island City,Trailer,Ground Floor,Rack
305,Long Island City,Yard Master Trailer,Ground Floor,Rack
323,Lakeview,Station,Track,Enclosure
107,Laurelton,Station,Ground Floor,Ticket Office
108,Lawrence,Station,Ground Floor,Ticket Office
56,Lead,Tower,2nd Floor,Rack
111,Lindenhurst,Station,Ground Floor,Ticket Office
116,Little Neck,Station,Ground Floor,Ticket Office
335,Locust Manor,Station,Track,Enclosure
112,Locust Valley,Station,Ground Floor,Ticket Office
285,Long Beach,120 W. Park Ave,Ground Floor,Rack
21,Long Beach,MofE Structure,Ground Floor,Foreman's Office
113,Long Beach,Station,Ground Floor,Ticket Office
117,Lynbrook,Station,Ground Floor,Ticket Office
309,Malverne,Station,Ground Floor,Enclosure
63,Manhasset,Station,Ground Floor,Rack
119,Massapequa,Station,Ground Floor,Ticket Office
120,Massapequa Park,Station,Ground Floor,Telephone Closet
121,Massapequa Park,Station,Ground Floor,Ticket Office
311,Mastic Shirley,Station,Ground Floor,Enclosure
326,Medford,Station,Track,Enclosure
310,Merillon Ave,Station,Ground Floor,Enclosure
282,Merrick,Capital Building,Ground Floor,Office
122,Merrick,Station,Ground Floor,Ticket Office
76,Mineola,Medical,Ground Floor,Rack
229,Mineola,Medical,Ground Floor,Office
72,Mineola,Station,Ground Floor,Rack
126,Mineola,Station,Ground Floor,Ticket Office,
292,Mineola,Station,South,Comm. Room,
347,Mineola,Substation,Ground Floor,Classroom,
65,Mineola,Tower,Ground Floor,Rack,Nassau Tower
79,Morris Park,Admin Building,2nd Floor,Rack,
253,Morris Park,B&B Warehouse,2nd Floor,Comm. Room,
81,Morris Park,Locomotive Shop,Ground Floor,Rack,
307,Morris Park,Quonset Hut,Ground Floor,Comm. Room,
254,Morris Park,Trailer,Ground Floor,Rack,
80,Morris Park,Yard,Ground Floor,Rack,
336,Murray Hill,Station,Track,Enclosure,
123,Nassau Blvd,Station,Ground Floor,Ticket Office,
125,New Hyde Park,Station,Ground Floor,Ticket Office,
225,Newark,Dock,Ground Floor,Rack,Dock Tower
213,Newark,Station,Ground Floor,Rack,
127,Northport,Station,Ground Floor,Ticket Office,
345,Nostrand Ave,Station,Ground Floor,Enclosure
256,NYC,469 7th Ave,4th Floor,Comm. Room
280,NYC,470 7th Ave.,8th Floor,Comm. Room
207,NYC,Capital Building,5th Floor,Comm. Room
91,NYC,Hudson,Ground Floor,Rack
206,NYC,One Penn Plaza,Ground Floor,Rack
193,Penn,Station,Basement,Computer Room
92,Penn,Station,Ground Floor,Solari Room
224,Penn,Station,Mezzanine,TVM Office
281,Penn,Station,Mezzanine,Customer Service
205,Penn,Station,Track,18 & 19
208,Penn,Station,Track,16?
89,NYC,PSCC,Ground Floor,Rack
90,NYC,PSCC,Ground Floor,Rack
45,Oakdale,Station,Ground Floor,Rack
