63,192.168.104.56,192168104056.00,3,00:10:40:56,Babylon MicroHut to Babylon Deer Park Ave Capital,4,6,9/27/2000 0:00:00,0,,0,,0,0,0
65,192.168.104.8,192168104008.00,3,00:10:40:08,Hillside 3rd Floor to Capital ASN,4,6,9/28/2000 0:00:00,0,,0,,0,0,0
66,192.168.104.116,192168104116.00,3,00:10:41:16,Ronkonkoma Station to  Mallin's Toilet Service,4,6,9/29/2000 0:00:00,0,,0,,0,0,0
67,192.168.104.112,192168104112.00,3,00:10:41:12,Ronkonkoma Station to Deer Park DK,4,6,9/29/2000 0:00:00,0,,0,,0,0,0
68,172.17.201.0,172017201000.00,1,00:19:82:54,Jamaica 5th Floor to Hicksville Divide,4,6,10/2/2000 0:00:00,0,,0,,0,0,0
69,192.168.104.124,192168104124.00,3,00:10:41:24,Ronkonkoma Station to KO Welfare,4,6,10/2/2000 0:00:00,0,,0,,0,0,0
70,192.168.104.32,192168104032.00,3,00:10:40:32,Jamaica BLN to Huntington,4,6,10/4/2000 0:00:00,0,,0,,0,0,0
71,192.168.104.196,192168104196.00,3,00:10:41:96,Jamaica 5th Floor to Mineola,4,6,10/4/2000 0:00:00,0,,0,,0,0,0
72,192.168.104.212,192168104212.00,3,,Jamaica 5th Floor to Queens Tower,4,6,10/4/2000 0:00:00,0,,0,,0,0,0
75,192.168.104.228,192168104228.00,3,00:10:42:28,Upper Holban to Simulator,4,6,10/10/2000 0:00:00,0,,0,,0,0,0
76,192.168.104.100,192168104100.00,3,00:10:41:00,Jamaica BLN to Port Jeff Welfare,4,6,10/16/2000 0:00:00,0,,0,,0,0,0
77,192.168.104.208,192168104208.00,3,,Queens Tower to Nassau Tower,4,6,10/16/2000 0:00:00,0,,0,,0,0,0
78,192.168.104.192,192168104192.00,3,00:10:41:92,Mineola to Mineola Medical,4,6,10/16/2000 0:00:00,0,,0,,0,0,0
79,192.168.104.20,192168104020.00,3,00:10:40:20,Hillside to Mineola Medical,4,6,10/16/2000 0:00:00,0,,0,,0,0,0
82,192.168.105.4,192168105004.00,3,00:10:50:04,Jamaica to Morris Park Office,4,6,11/16/2000 0:00:00,0,,0,,0,0,0
83,192.168.104.240,192168104240.00,3,00:10:42:40,Morris Park Office to Morris Park Yard,4,6,11/16/2000 0:00:00,0,,0,,0,0,0
84,192.168.104.244,192168104244.00,3,00:10:42:44,Morris Park Office to Morris Park Locomotive Shop,4,6,11/16/2000 0:00:00,0,,0,,0,0,0
85,192.168.105.0,192168105000.00,3,00:10:50:00,Jamaica to Richmond Hill Welfare,4,6,11/16/2000 0:00:00,0,,0,,0,0,0
86,192.168.104.252,192168104252.00,3,00:10:42:52,Richmond Hill Welfare to Richmond Hill Sheridan,4,6,11/16/2000 0:00:00,0,,0,,0,0,0
87,192.168.104.248,192168104248.00,3,00:10:42:48,Richmond Hill Sheridan to Morris Park Loco Shop,4,6,11/22/2000 0:00:00,0,,0,,0,0,0
88,192.168.104.236,192168104236.00,3,00:10:42:36,Richmond Hill Welfare to Richmond Hill Trailer,4,6,11/22/2000 0:00:00,0,,0,,0,0,0
89,192.168.105.24,192168105024.00,3,00:10:50:24,Jamaica to LI City M of E,4,6,11/24/2000 0:00:00,0,,0,,0,0,0
92,192.168.106.0,192168106000.00,1,,Q Tower to R Tower,4,6,11/24/2000 0:00:00,0,,0,,0,0,0
94,192.168.109.0,192168109000.00,1,,PSCC to Q Tower,4,6,11/27/2000 0:00:00,0,,0,,0,0,0
96,192.168.125.0,192168125000.00,1,00:22:72:29,Solari Room to PSCC,4,6,11/29/2000 0:00:00,0,,0,,0,0,0
97,172.19.35.128,172019035128.00,2,00:19:03:5B,Morris Park Office/B&B Building/Trailers,2,5,5/10/2001 0:00:00,0,,0,172.19.35.254,0,0,0
98,172.18.0.0,172018000000.00,5,,Amityville TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.0.1,0,0,0
99,192.168.100.0,192168100000.00,5,,TSM Subnet 0,4,7,5/23/2001 0:00:00,0,,0,,0,0,0
100,192.168.100.64,192168100064.00,5,,TSM Subnet 1,4,7,5/23/2001 0:00:00,0,,0,,0,0,0
101,192.168.100.128,192168100128.00,5,,TSM Subnet 2,4,7,5/23/2001 0:00:00,0,,0,,0,0,0
102,172.18.0.128,172018000128.00,5,,Baldwin TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.0.129,0,0,0
103,172.18.0.192,172018000192.00,5,,Bayshore TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.0.193,0,0,0
104,172.18.0.64,172018000064.00,5,,Babylon TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.0.65,0,0,0
105,172.18.1.0,172018001000.00,5,,Bayside TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.1.1,0,0,0
106,172.18.1.128,172018001128.00,5,,Bellmore TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.1.129,0,0,0
107,172.18.1.192,172018001192.00,5,,Bethpage TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.1.193,0,0,0
108,172.18.1.64,172018001064.00,5,,Bellerose TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.1.65,0,0,0
109,172.18.10.0,172018010000.00,5,,Kew Gardens TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.10.1,0,0,0
110,172.18.10.128,172018010128.00,5,,Laurelton TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.10.129,0,0,0
111,172.18.10.192,172018010192.00,5,,Lawrence TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.10.193,0,0,0
112,172.18.10.64,172018010064.00,5,,Kings Park TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.10.65,0,0,0
