4,91,95
6,93,97
8,2,15
9,4,20
10,16,21
11,17,22
12,18,23
13,19,24
14,99,25
15,101,26
16,102,27
17,103,28
18,104,29
19,105,30
20,106,31
21,107,32
22,109,33
23,111,34
24,113,35
25,114,36
26,116,37
27,117,38
28,118,39
29,119,40
30,120,41
31,122,42
32,121,43
33,123,44
34,124,45
35,125,46
36,126,47
37,127,48
38,128,49
39,129,50
40,130,51
41,131,52
42,132,53
43,133,54
44,134,55
46,136,57
47,137,58
48,138,59
50,140,61
51,141,62
52,142,63
53,143,64
54,144,65
55,145,66
56,146,67
57,147,68
58,148,69
59,149,70
60,150,71
61,151,72
62,152,73
63,153,74
64,154,75
65,155,76
66,156,77
67,157,78
68,158,79
69,159,80
70,160,81
71,161,82
72,162,83
73,163,84
75,165,85
76,166,86
77,167,87
78,168,88
79,169,89
80,170,56
81,164,172
82,115,173
83,174,177
84,175,178
85,176,179
86,181,206
87,182,207
88,183,208
89,184,209
90,185,210
91,186,211
92,187,212
93,188,213
94,189,214
95,190,215
96,191,216
97,192,217
98,195,218
99,193,219
100,197,220
101,199,221
102,200,222
103,201,223
104,202,224
105,205,180
106,100,225
107,203,227
108,204,226
109,229,228
111,231,60
